checkpoint,group,episode,offset,frame_idx,goal_score_std
epoch1,obtain_coverage,8,0.0,3200,0.0017862636595964432
epoch1,obtain_coverage,8,0.1,3240,0.003221876220777631
epoch1,obtain_coverage,8,0.25,3300,0.018054604530334473
epoch1,obtain_coverage,8,0.5,3400,0.01083282195031643
epoch1,obtain_coverage,9,0.0,3600,0.02440088987350464
epoch1,obtain_coverage,9,0.1,3640,0.012432004325091839
epoch1,obtain_coverage,9,0.25,3700,0.0035230200737714767
epoch1,obtain_coverage,9,0.5,3800,0.01497784722596407
epoch1,obtain_coverage,10,0.0,4000,0.012479517608880997
epoch1,obtain_coverage,10,0.1,4040,0.00587026122957468
epoch1,obtain_coverage,10,0.25,4100,0.004988791421055794
epoch1,obtain_coverage,10,0.5,4200,0.003089163452386856
epoch1,obtain_coverage,11,0.0,4400,0.0023951558396220207
epoch1,obtain_coverage,11,0.1,4440,0.008613301441073418
epoch1,obtain_coverage,11,0.25,4500,0.0061222561635077
epoch1,obtain_coverage,11,0.5,4600,0.0024867288302630186
epoch1,obtain_coverage,12,0.0,4800,0.00433396315202117
epoch1,obtain_coverage,12,0.1,4840,0.005529578775167465
epoch1,obtain_coverage,12,0.25,4900,0.002399949124082923
epoch1,obtain_coverage,12,0.5,5000,0.004364075139164925
epoch1,obtain_coverage,13,0.0,5200,0.001509366324171424
epoch1,obtain_coverage,13,0.1,5240,0.0021315449848771095
epoch1,obtain_coverage,13,0.25,5300,0.0012150652473792434
epoch1,obtain_coverage,13,0.5,5400,0.0031829657964408398
epoch1,obtain_coverage,14,0.0,5600,0.03902294859290123
epoch1,obtain_coverage,14,0.1,5640,0.04066745936870575
epoch1,obtain_coverage,14,0.25,5700,0.02837792970240116
epoch1,obtain_coverage,14,0.5,5800,0.011893718503415585
epoch1,obtain_coverage,15,0.0,6000,0.009952081367373466
epoch1,obtain_coverage,15,0.1,6040,0.002940674079582095
epoch1,obtain_coverage,15,0.25,6100,0.0034919108729809523
epoch1,obtain_coverage,15,0.5,6200,0.002651406219229102
epoch1,obtain_coverage,16,0.0,6400,0.011179352179169655
epoch1,obtain_coverage,16,0.1,6440,0.008636756800115108
epoch1,obtain_coverage,16,0.25,6500,0.003638932714238763
